Film,Genre,Lead Studio,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year
Midnight Love,Romance,Paramount,78,3.45,71,$89.5,2012
Sky Warriors,Action,Warner Bros,85,4.21,82,$320.7,2018
Hidden Truth,Thriller,Universal,72,2.98,69,$140.2,2015
Ocean Dream,Drama,Disney,88,5.10,91,$410.8,2020
Last Journey,Adventure,Fox,76,3.67,74,$220.4,2016
Broken Hearts,Romance,Columbia,67,2.11,61,$54.8,2011
Dark Streets,Crime,Lionsgate,74,3.02,78,$133.9,2014
Laugh Tonight,Comedy,Universal,81,4.55,85,$190.5,2019
Ghost Signal,Horror,Blumhouse,69,6.22,73,$97.1,2021
Future Code,Sci-Fi,Warner Bros,91,7.15,95,$560.9,2022
City Lights,Drama,Paramount,79,3.40,80,$145.6,2013
Golden Days,Comedy,Disney,83,4.80,88,$275.3,2017
Silent River,Thriller,Fox,71,2.87,67,$110.4,2012
Frozen Path,Adventure,Universal,86,5.35,90,$387.2,2021
Moon Chaser,Sci-Fi,Netflix,89,6.44,93,$450.7,2023
Wild Horizon,Action,Paramount,80,4.01,77,$260.6,2018
Sweet Escape,Romance,Disney,73,2.56,65,$88.3,2014
Night Hunter,Crime,Warner Bros,77,3.88,81,$176.4,2017
Dream Makers,Drama,Columbia,84,4.76,89,$201.7,2019
Fast Wheels,Action,Universal,87,5.66,84,$410.1,2020
The Forgotten,Horror,Lionsgate,65,2.43,59,$61.9,2013
Happy Ending,Comedy,Paramount,82,4.92,86,$212.8,2016
Storm Breaker,Adventure,Fox,75,3.22,72,$158.4,2015
Deep Fear,Horror,Blumhouse,68,5.88,70,$84.7,2022
Parallel World,Sci-Fi,Netflix,90,6.95,94,$502.3,2023
Lost in Time,Drama,Disney,81,4.13,87,$193.5,2018
Magic Garden,Fantasy,Warner Bros,88,5.75,92,$389.6,2021
Burning Point,Action,Universal,79,3.74,76,$240.1,2017
Love Again,Romance,Paramount,74,2.98,68,$99.4,2016
Cold Justice,Crime,Fox,72,3.15,75,$129.8,2014
Bright Tomorrow,Drama,Disney,85,4.88,90,$267.4,2020
Chaos Theory,Thriller,Warner Bros,77,3.56,79,$165.7,2019
Zombie Night,Horror,Blumhouse,66,5.41,71,$73.5,2021
Infinite Loop,Sci-Fi,Netflix,92,7.32,96,$610.2,2024
Road to Glory,Sports,Disney,83,4.50,84,$182.6,2018
Kingdom Rise,Fantasy,Universal,87,5.91,91,$422.0,2022
Funny Business,Comedy,Columbia,78,3.89,80,$155.9,2015
Dark Secret,Thriller,Lionsgate,70,2.66,66,$95.2,2013
Chasing Stars,Romance,Paramount,76,3.08,74,$120.3,2017
Battle Zone,Action,Fox,84,4.93,83,$301.5,2020
Soul Searcher,Drama,Disney,80,4.01,86,$176.9,2019
Monster House,Horror,Universal,67,4.87,69,$82.4,2016
Digital Mind,Sci-Fi,Netflix,91,6.71,95,$540.6,2023
Jungle Run,Adventure,Paramount,79,3.94,78,$210.7,2018
First Kiss,Romance,Columbia,71,2.49,63,$69.1,2012
The Detective,Crime,Warner Bros,82,4.42,85,$188.8,2021
Rainbow Days,Comedy,Disney,84,4.96,89,$244.2,2020
Fire Storm,Action,Universal,86,5.37,82,$355.4,2022
Haunted Lake,Horror,Blumhouse,64,4.18,60,$57.8,2014
Virtual Reality,Sci-Fi,Netflix,93,7.80,97,$655.9,2024
Secret Island,Adventure,Fox,77,3.61,76,$168.3,2017
Broken Promise,Drama,Paramount,75,3.09,73,$112.6,2015
Lucky Chance,Comedy,Universal,81,4.34,84,$187.1,2019
Midnight Chase,Thriller,Lionsgate,73,2.90,71,$108.5,2016
Hero Returns,Action,Disney,89,6.11,90,$490.7,2023
Moonlight Song,Romance,Columbia,72,2.77,67,$91.8,2018
Danger Line,Crime,Fox,76,3.35,77,$142.4,2020
Final Stand,Action,Warner Bros,88,5.84,89,$430.3,2022
Dream World,Fantasy,Disney,90,6.49,94,$520.8,2024
